RIS Field	EndNote Field	EndNote Ref. Type	In RIS spec?	Raw Data
A2	Department	Government Document	Y	A2    Department
A2	Editor	Conference Proceedings	Y	A2    Editor
A2	Editor	Book Section	Y	A2    Editor
A2	Editor	Electronic Book	Y	A2    Editor
A2	Editor	Conference Paper	Y	A2    Editor
A2	Editor	Ancient Text	Y	A2    Editor
A2	Editor	Dictionary	Y	A2    Editor
A2	Editor	Encyclopedia	Y	A2    Editor
A2	Editor	Blog	Y	A2    Editor
A2	Editor	Serial	Y	A2    Editor
A2	Editor	Electronic Book Section	Y	A2    Editor
A2	Institution	Catalog	Y	A2    Institution
A2	Institution	Pamphlet	Y	A2    Institution
A2	Issuing Organization	Patent	Y	A2    Issuing Organization
A2	Issuing Organization	Legal Rule or Regulation	Y	A2    Issuing Organization
A2	Name of File	Figure	Y	A2    Name of File
A2	Name of File	Chart or Table	Y	A2    Name of File
A2	Name of File	Equation	Y	A2    Name of File
A2	Performers	Audiovisual Material	Y	A2    Performers
A2	Producer	Dataset	Y	A2    Producer
A2	Recipient	Personal Communication	Y	A2    Recipient
A2	Reporter	Case	Y	A2    Reporter
A2	Secondary Author	Generic	Y	A2    Secondary Author
A2	Series Director	Manuscript-2	Y	A2    Series Director
A2	Series Editor	Book	Y	A2    Series Editor
A2	Series Editor	Computer Program	Y	A2    Series Editor
A2	Series Editor	Edited Book	Y	A2    Series Editor
A2	Series Editor	Report	Y	A2    Series Editor
A2	Series Editor	Map	Y	A2    Series Editor
A2	Series Editor	Web Page	Y	A2    Series Editor
A2	Series Editor	Online Multimedia	Y	A2    Series Editor
A2	Series Editor	Classical Work	Y	A2    Series Editor
A2	Sponsor	Bill	Y	A2    Sponsor
A3	Advisor	Thesis	Y	A3    Advisor
A3	Higher Court	Case	Y	A3    Higher Court
A3	Illustrator	Blog	Y	A3    Illustrator
A3	International Author	Patent	Y	A3    International Author
A3	Producer	Manuscript-2	Y	A3    Producer
A3	Publisher	Report	Y	A3    Publisher
A3	Series Author	Electronic Book	Y	A3    Series Author
A3	Series Editor	Conference Proceedings	Y	A3    Series Editor
A3	Series Editor	Book Section	Y	A3    Series Editor
A3	Series Editor	Audiovisual Material	Y	A3    Series Editor
A3	Series Editor	Serial	Y	A3    Series Editor
A3	Series Editor	Electronic Book Section	Y	A3    Series Editor
A3	Tertiary Author	Generic	Y	A3    Tertiary Author
A4	Counsel	Case	N	A4    Counsel
A4	Department/Division	Report	N	A4    Department/Division
A4	Funding Agency	Dataset	N	A4    Funding Agency
A4	Performers	Manuscript-2	N	A4    Performers
A4	Sponsor	Conference Proceedings	N	A4    Sponsor
A4	Subsidiary Author	Generic	N	A4    Subsidiary Author
A4	Translator	Book	N	A4    Translator
A4	Translator	Book Section	N	A4    Translator
A4	Translator	Edited Book	N	A4    Translator
A4	Translator	Classical Work	N	A4    Translator
A4	Translator	Ancient Text	N	A4    Translator
A4	Translator	Dictionary	N	A4    Translator
A4	Translator	Encyclopedia	N	A4    Translator
A4	Translator	Grant	N	A4    Translator
A4	Translator	Catalog	N	A4    Translator
A4	Translator	Pamphlet	N	A4    Translator
A4	Translator	Electronic Book Section	N	A4    Translator
A4	Volume Editor	Serial	N	A4    Volume Editor
AB	Abstract	Journal Article	Y	AB    Abstract
AB	Abstract	Book	Y	AB    Abstract
AB	Abstract	Thesis	Y	AB    Abstract
AB	Abstract	Conference Proceedings	Y	AB    Abstract
AB	Abstract	Personal Communication	Y	AB    Abstract
AB	Abstract	Newspaper Article	Y	AB    Abstract
AB	Abstract	Computer Program	Y	AB    Abstract
AB	Abstract	Book Section	Y	AB    Abstract
AB	Abstract	Magazine Article	Y	AB    Abstract
AB	Abstract	Edited Book	Y	AB    Abstract
AB	Abstract	Report	Y	AB    Abstract
AB	Abstract	Map	Y	AB    Abstract
AB	Abstract	Audiovisual Material	Y	AB    Abstract
