Field Name	Refernce Type	Zotero item type	In spec
ABST	Abstract	journalArticle	Y
ADVS	Audiovisual material	film	Y
AGGR	Aggregated Database	webpage	N
ART	Art Work	artwork	Y
BILL	Bill/Resolution	bill	Y
BLOG	Blog	blogPost	N
BOOK	"Book, Whole"	book	Y
CASE	Case	case	Y
CHAP	Book chapter	bookSection	Y
CHART	Chart/Table	artwork	N
CLSWRK	Classical Work	document	N
COMP	Computer program	computerProgram	Y
CONF	Conference proceeding	conferencePaper	Y
CPAPER	Conference paper	conferencePaper	N
CTLG	Catalog	magazineArticle	Y
DATA	Data file	webpage	Y
DBASE	Online Database	webpage	N
DICT	Dictionary Entry	dictionaryEntry	N
EBOOK	Electronic Book	book	N
EDBOOK	Edited Book	book	N
ELEC	Electronic Citation	webpage	Y
EQUA	Equation	artwork	N
FIGURE	Figure	artwork	N
GEN	Generic	document	Y
GOVDOC	Government Document	document	N
GRANT	Grant	document	N
HEAR	Hearing	hearing	Y
ICOMM	Internet Communication	email	Y
INPR	In Press	manuscript	Y
JFULL	Journal (full)	journalArticle	Y
JOUR	Journal	journalArticle	Y
LEGAL	Legal Rule or Regulation	statute	N
MANSCPT	Manuscript	manuscript	N
MAP	Map	map	Y
MGZN	Magazine article	magazineArticle	Y
MPCT	Motion picture	film	Y
MULTI	Online Multimedia	webpage	N
MUSIC	Music score	audioRecording	Y
NEWS	Newspaper	newspaperArticle	Y
PAMP	Pamphlet	manuscript	Y
PAT	Patent	patent	Y
PCOMM	Personal communication	interview	Y
RPRT	Report	report	Y
SER	"Serial (Book, Monograph)"	book	Y
SLIDE	Slide	artwork	Y
SOUND	Sound recording	audioRecording	Y
STAND	Standard	document	N
STAT	Statute	statute	Y
THES	Thesis/Dissertation	thesis	Y
UNBILL	Unenacted bill/resolution	manuscript	Y
UNPB	Unpublished work	manuscript	Y
VIDEO	Video recording	videoRecording	Y
WEB	Web Page	webpage	N
			
From http://www.refman.com/support/risformat_reftypes.asp			
