ID	Field Label	Field Name	grouping 1	grouping 2	In RIS.js?	Zotero maps-to	In EN RIS out?	In spec?	Description	URL
12	A1	Author Primary	Author Primary		Y	"creator (creatorType ""author"")"	N	Y	"Author Primary. Each author must be on a separate line, preceded by this tag. Each reference can contain unlimited author fields, and can contain up to 255 characters for each field. The author name must be in the following syntax: ""Lastname, Firstname, Suffix"".  For Firstname, you can use full names, initials, or both. The format for the author’s first name is as follows: ""Phillips,A.J"", ""Phillips,Albert John"", ""Phillips,Albert"".  Lastname = Any string of letters, spaces, and hyphens. Firstname = Any string of letters, spaces, and hyphens. Initial = Any single letter followed by a period. Full Name = Any string of letters, spaces, and hyphens. Suffix = Jr/Sr/II/III/MD etc. (Phillips,A.J.,Sr.); use of the suffix is optional."	http://www.refman.com/support/risformat_tags_02.asp
14	A2	Author Secondary	Author Secondary		Y	"creator (creatorType ""contributor"")"	Y (book - Series Editor)	Y	"Author Secondary. Each author must be on a separate line, preceded by this tag. There is no practical limit to the number of authors in this field. The author name must be in the correct syntax (refer to A1 and AU fields). This author name can be up to 255 characters long."	http://www.refman.com/support/risformat_tags_02.asp
16	A3	Author Series			N		Y (book chapter - series editor)	Y	"Author Series. Each author must be on a separate line, preceded by this tag. There is no practical limit to the number of authors in this field. The author name must be in the correct syntax (refer to A1 and AU fields). Each author name can be up to 255 characters long."	http://www.refman.com/support/risformat_tags_02.asp
69	A4	Translator			N		Y (book)	N		
21	AB	Notes/Abstract	Notes		Y	notes/abstractNote	Y (abstract)	Y	Notes. These are free text fields and can contain alphanumeric characters; there is no practical length limit to this field.  AB is used by EndNote for the Abstract.  This makes sense.	http://www.refman.com/support/risformat_tags_03.asp
38	AD	Address			N		Y	Y	Address. This is a free text field and contain alphanumeric characters; there is no practical length limit to this field. (EndNote - author address).	http://www.refman.com/support/risformat_tags_06.asp
53	AN	Accession Number			N		Y	N		
13	AU	Author Primary	Author Primary		Y	"creator (creatorType ""author"")"	Y	Y	"Author Primary. Each author must be on a separate line, preceded by this tag. Each reference can contain unlimited author fields, and can contain up to 255 characters for each field. The author name must be in the following syntax: ""Lastname, Firstname, Suffix"".  For Firstname, you can use full names, initials, or both. The format for the author’s first name is as follows: ""Phillips,A.J"", ""Phillips,Albert John"", ""Phillips,Albert"".  Lastname = Any string of letters, spaces, and hyphens. Firstname = Any string of letters, spaces, and hyphens. Initial = Any single letter followed by a period. Full Name = Any string of letters, spaces, and hyphens. Suffix = Jr/Sr/II/III/MD etc. (Phillips,A.J.,Sr.); use of the suffix is optional."	http://www.refman.com/support/risformat_tags_02.asp
39	AV	Availability			N		N	Y	Availability. This is an alphanumeric field and there is no practical limit to the length of this field. 	http://www.refman.com/support/risformat_tags_07.asp
9	BT	Title Primary/Secondary	Title Primary	Title Secondary	Y	"title (type BOOK, MANUSCRIPT - BOOK CHAPTER?)/backupPublicationTitle"	N	Y	Title Primary. Note that the BT tag maps to this field only for Whole Book and Unpublished Work references. This field can contain alphanumeric characters; there is no practical length limit to this field.	http://www.refman.com/support/risformat_tags_01.asp
54	C1	Legal Note			N		Y	N		
55	C2	PMCID			N		Y	N		
72	C5	Packaging Method			N		Y	N		
56	CA	Caption			N		Y	N		
1	CN	Call Number			N		"Y (magazine, book)"	N	Call Number	
32	CP	Issue/City of Publication	Issue		N		N	Y	Issue. There is no practical limit to the length of this field. 	http://www.refman.com/support/risformat_tags_06.asp
8	CT	Title Primary	Title Primary		Y	title	N	Y	Title Primary. Note that the BT tag maps to this field only for Whole Book and Unpublished Work references. This field can contain alphanumeric characters; there is no practical length limit to this field.	http://www.refman.com/support/risformat_tags_01.asp
35	CY	City of publication			Y	place	"Y (book, magazine)"	Y	City of publication; this is an alphanumeric field. There is no practical limit to the length of this field. 	http://www.refman.com/support/risformat_tags_06.asp
57	DA	Date			N		Y	N		
58	DB	Database			N		Y	N		
5	DO	DOI			N	DOI	N	N	EndNote-specific DOI field.	
59	DP	Database Provider			N		Y	N		
15	ED	Author Secondary	Author Secondary		Y	"creator (creatorType ""editor"")"	N	Y	"Author Secondary. Each author must be on a separate line, preceded by this tag. There is no practical limit to the number of authors in this field. The author name must be in the correct syntax (refer to A1 and AU fields). This author name can be up to 255 characters long."	http://www.refman.com/support/risformat_tags_02.asp
34	EP	Ending page number			Y	pages	N	Y	"Ending page number, as above."	http://www.refman.com/support/risformat_tags_06.asp
3	ER	End of reference			Y		N	Y	End of reference. Must be the last tag in a reference.	http://www.refman.com/support/risformat_tags_01.asp
60	ET	"E-Pub Date/Edition (book, magazine article)"			N		Y	N		
4	ID	Reference ID			Y	itemID	N	N	"Reference ID. The Reference ID can consist of any alphanumeric characters—up to 20 characters in length. (from EndNote, this is the numeric ID of reference in EndNote Database)."	http://www.refman.com/support/risformat_tags_01.asp
31	IS	Issue	Issue		Y	issue/patentNumber (patent)	Y	Y	Issue. There is no practical limit to the length of this field. 	http://www.refman.com/support/risformat_tags_06.asp
28	J1	Periodical name: user abbreviation 1			N		N	Y	Periodical name: user abbreviation 1. This is an alphanumeric field of up to 255 characters.	http://www.refman.com/support/risformat_tags_05.asp
29	J2	Periodical name: user abbreviation 2			N		Y	Y	Periodical name: user abbreviation 2. This is an alphanumeric field of up to 255 characters.	http://www.refman.com/support/risformat_tags_05.asp
27	JA	Periodical name: standard abbreviation			N		N	Y	"Periodical name: standard abbreviation. This is the periodical in which the article was (or is to be, in the case of in-press references) published. This is an alphanumeric field of up to 255 characters.  If possible, periodical names should be abbreviated in the Index Medicus style, with periods after the abbreviations. If this is not possible (your large bibliography file in WordPerfect has no periods after abbreviations), you can use the ""RIS Format (Adds periods)"" Import Filter definition. This definition uses the Periodical Word Dictionary."	http://www.refman.com/support/risformat_tags_05.asp
25	JF	Periodical name: full format	Periodical name: full format		Y	publicationTitle	N	Y	Periodical name: full format. This is an alphanumeric field of up to 255 characters.	http://www.refman.com/support/risformat_tags_05.asp
26	JO	Periodical name: full format	Periodical name: full format		Y	conferenceName/publicationTitle	N	Y	Periodical name: full format. This is an alphanumeric field of up to 255 characters.	http://www.refman.com/support/risformat_tags_05.asp
23	KW	Keywords			Y	tags	N	Y	"Keywords. Each keyword or phrase must be on its own line, preceded by this tag. A keyword can consist of multiple words (phrases) and can be up to 255 characters long. There is no limit to the amount of keywords in a single reference."	http://www.refman.com/support/risformat_tags_04.asp
49	L1	Link to PDF			Y	url/attachments	Y	Y	"Link to PDF. There is no practical limit to the length of this field. URL addresses can be entered individually, one per tag or multiple addresses can be entered on one line using a semi-colon as a separator. In EndNote, this can be a file attachment of any type, including Word."	http://www.refman.com/support/risformat_tags_07.asp
50	L2	Link to Full-text			Y	attachments	N	Y	"Link to Full-text. There is no practical limit to the length of this field. URL addresses can be entered individually, one per tag or multiple addresses can be entered on one line using a semi-colon as a separator."	http://www.refman.com/support/risformat_tags_07.asp
51	L3	Related Records			N		N	Y	Related Records. There is no practical limit to the length of this field. 	http://www.refman.com/support/risformat_tags_07.asp
52	L4	Image(s)			Y	attachments	Y	Y	Image(s). There is no practical limit to the length of this field. 	http://www.refman.com/support/risformat_tags_07.asp
61	LA	Language			N		Y	N		
62	LB	Label			N		Y	N		
40	M1	Miscellaneous 1/Series Volume (book)/Number of Volumes (chapter - NV?)/Issue Number (magazine)			Y	extra	Y	Y	Miscellaneous 1. This is an alphanumeric field and there is no practical limit to the length of this field. 	http://www.refman.com/support/risformat_tags_07.asp
41	M2	Miscellaneous 2			Y	extra	Y (Start page)	Y	Miscellaneous 2. This is an alphanumeric field and there is no practical limit to the length of this field. 	http://www.refman.com/support/risformat_tags_07.asp
42	M3	Miscellaneous 3			N		Y (Type of Article/Work)	Y	Miscellaneous 3. This is an alphanumeric field and there is no practical limit to the length of this field. 	http://www.refman.com/support/risformat_tags_07.asp
20	N1	Notes	Notes		Y	notes	N	Y	Notes. These are free text fields and can contain alphanumeric characters; there is no practical length limit to this field.	http://www.refman.com/support/risformat_tags_03.asp
22	N2	Abstract			Y	abstract	N	Y	Abstract. This is a free text field and can contain alphanumeric characters; there is no practical length limit to this field.	http://www.refman.com/support/risformat_tags_03.asp
70	NV	Number of Volumes/Frequency (magazine)			N		Y	N		
63	OP	Original Publication			N		Y	N		
36	PB	Publisher			Y	publisher/references (patent)	N	Y	Publisher; this is an alphanumeric field. There is no practical limit to the length of this field. 	http://www.refman.com/support/risformat_tags_06.asp
18	PY	Date Primary	Date Primary		Y	date	Y	Y	"Date Primary. This date must be in the following format: ""YYYY/MM/DD/other info"".  The year, month and day fields are all numeric. The other info field can be any string of letters, spaces and hyphens. Note that each specific date information is optional, however the slashes (""/"") are not. For example, if you just had the <year> and <other info>, then the output would look like: ""1998///Spring."" "	http://www.refman.com/support/risformat_tags_03.asp
64	RI	Reviewd Item			N		Y	N		
65	RN	Research Notes			N		Y	N		
24	RP	Reprint status			N		Y	Y	"Reprint status. This optional field can contain one of three status notes. Each must be in uppercase, and the date after ""ON REQUEST"" must be in the US date format, in parentheses: (MM/DD/YY). If this field is blank in your downloaded text file, the import function assumes the reprint status is “NOT IN FILE.”  The three options are: ""IN FILE"" - This is for references that you have a physical copy of in your files. ""NOT IN FILE"" - This is for references that you do not have physical copies of in your files.  ""ON REQUEST (MM/DD/YY)"" - This means that you have sent for a reprint of the reference; the date is the date on which the reprint was requested (in MM/DD/YY format)."	http://www.refman.com/support/risformat_tags_04.asp
71	SE	Pages (book)/Chapter (book chapter)/start page (magazine)			N		Y (book)	N		
37	SN	ISSN/ISBN			Y	"ISBN, ISSN"	"Y (ISSN for article, ISBN for book)"	Y	ISSN/ISBN. This is an alphanumeric field. There is no practical limit to the length of this field.	http://www.refman.com/support/risformat_tags_06.asp
33	SP	"Start page number/pages (book chapter, magazine)"			Y	pages	Y (pages)	Y	"Start page number; an alphanumeric string. There is no practical limit to the length of this field. Endnote uses this to hold page range, doesn't have end page."	http://www.refman.com/support/risformat_tags_06.asp
66	ST	Short Title			N		Y	N		
73	SV	Series Volume			N		Y (book chapter)	N		
6	T1	Title Primary	Title Primary		Y	title	N	Y	Title Primary. Note that the BT tag maps to this field only for Whole Book and Unpublished Work references. This field can contain alphanumeric characters; there is no practical length limit to this field.	http://www.refman.com/support/risformat_tags_01.asp
10	T2	Title Secondary	Title Secondary		Y	backupPublicationTitle	Y	Y	Title Secondary. Note that the BT tag maps to this field for all reference types except for Whole Book and Unpublished Work references. There is no practical limit to the length of this field. 	http://www.refman.com/support/risformat_tags_01.asp
11	T3	Title Series			Y	series	N	Y	Title Series. This field can contain alphanumeric characters; there is no practical length limit to this field.	http://www.refman.com/support/risformat_tags_01.asp
67	TA	Translated Author			N		Y	N		
7	TI	Title Primary	Title Primary		Y	title	Y	Y	Title Primary. Note that the BT tag maps to this field only for Whole Book and Unpublished Work references. This field can contain alphanumeric characters; there is no practical length limit to this field.	http://www.refman.com/support/risformat_tags_01.asp
68	TT	Translated Title			N		Y	N		
2	TY	Type of reference			Y	itemType	Y	Y	"Type of reference. This must contain one of the following field names as defined in the section, Reference Type field names (see TY values tab)."	http://www.refman.com/support/risformat_tags_01.asp
